name,salinity,January_temp,June_temp,area,latitude,longitude,type of sea,corals,silt/sulfide
Aegean Sea,38.61948394775391,16.72939300537109,21.06929206848145,214000,39,25,2,1,0
Aegean Sea,37.79920959472656,16.94242286682129,21.25151443481445,214000,39,25,2,1,0
Aegean Sea,38.50946044921875,16.71404075622559,21.11030197143555,214000,39,25,2,1,0
Aegean Sea,38.75990676879883,16.67868614196777,20.88838386535645,214000,39,25,2,1,0
Aegean Sea,37.7048225402832,17.00838279724121,20.32888793945312,214000,39,25,2,1,0
Aegean Sea,37.79692077636719,16.37585830688477,21.02464485168457,214000,39,25,2,1,0
Aegean Sea,38.82955551147461,17.01262474060059,20.52030181884766,214000,39,25,2,1,0
Aegean Sea,38.20175933837891,17.03999900817871,20.28302764892578,214000,39,25,2,1,0
Aegean Sea,38.04671478271484,16.99787902832031,20.9975757598877,214000,39,25,2,1,0
Aegean Sea,37.79266738891602,16.96131134033203,20.74191856384277,214000,39,25,2,1,0
Aegean Sea,38.67683410644531,11.9,25.4,214000,39,25,2,1,0
Aegean Sea,38.63107299804688,16.7,23.2,214000,39,25,2,1,0
Aegean Sea,37.96284103393555,18.6,22.7,214000,39,25,2,1,0
Aegean Sea,38.18477249145508,17.3,23.7,214000,39,25,2,1,0
Aegean Sea,38.60244750976562,15.9,23.5,214000,39,25,2,1,0
Aegean Sea,38.31703948974609,14.4,23.8,214000,39,25,2,1,0
Aegean Sea,38.07433700561523,19.1,23.7,214000,39,25,2,1,0
Aegean Sea,37.90082550048828,13.3,23.3,214000,39,25,2,1,0
Aegean Sea,38.80392456054688,12.3,21.5,214000,39,25,2,1,0
Aegean Sea,38.61873626708984,12.2,23.5,214000,39,25,2,1,0
Aegean Sea,37.80873107910156,11.9,25.4,214000,39,25,2,1,0
Aegean Sea,38.17521667480469,16.7,23.2,214000,39,25,2,1,0
Aegean Sea,38.21246719360352,18.6,22.7,214000,39,25,2,1,0
Aegean Sea,38.4832649230957,17.3,23.7,214000,39,25,2,1,0
Aegean Sea,38.40599060058594,15.9,23.5,214000,39,25,2,1,0
Aegean Sea,37.90620803833008,14.4,23.8,214000,39,25,2,1,0
Aegean Sea,37.98701095581055,19.1,23.7,214000,39,25,2,1,0
Aegean Sea,38.67533111572266,13.3,23.3,214000,39,25,2,1,0
Aegean Sea,37.64388275146484,12.3,21.5,214000,39,25,2,1,0
Aegean Sea,38.08902740478516,12.2,23.5,214000,39,25,2,1,0
Aegean Sea,38.12750244140625,11.9,25.4,214000,39,25,2,1,0
Aegean Sea,38.3373908996582,16.7,23.2,214000,39,25,2,1,0
Aegean Sea,38.1357307434082,18.6,22.7,214000,39,25,2,1,0
Aegean Sea,38.28947448730469,17.3,23.7,214000,39,25,2,1,0
Aegean Sea,38.40226745605469,15.9,23.5,214000,39,25,2,1,0
Aegean Sea,37.95729064941406,14.4,23.8,214000,39,25,2,1,0
Aegean Sea,38.32602691650391,19.1,23.7,214000,39,25,2,1,0
Aegean Sea,38.12023162841797,13.3,23.3,214000,39,25,2,1,0
Aegean Sea,37.78729248046875,12.3,23.5,214000,39,25,2,1,0
Andaman Sea,32.57050704956055,28.20770072937012,29.8450984954834,797700,10,96,3,1,0
Andaman Sea,31.72503662109375,28.60479545593262,29.10989570617676,797700,10,96,3,1,0
Andaman Sea,32.35657119750977,28.54729652404785,28.99190139770508,797700,10,96,3,1,0
Andaman Sea,32.64396667480469,28.0310001373291,29.88659858703613,797700,10,96,3,1,0
Andaman Sea,32.70505905151367,28.60439872741699,29.32009696960449,797700,10,96,3,1,0
Andaman Sea,32.75521850585938,28.19219970703125,30.0564022064209,797700,10,96,3,1,0
Andaman Sea,31.7744140625,28.26930046081543,29.72559928894043,797700,10,96,3,1,0
Andaman Sea,31.72160339355469,28.50870132446289,29.00009918212891,797700,10,96,3,1,0
Andaman Sea,31.87230682373047,28.44110107421875,28.91759872436523,797700,10,96,3,1,0
Andaman Sea,31.92419052124023,28.12190055847168,29.72869873046875,797700,10,96,3,1,0
Andaman Sea,31.7354621887207,28.49679946899414,29.00969696044922,797700,10,96,3,1,0
Andaman Sea,32.18795776367188,28.02289772033691,29.55159759521484,797700,10,96,3,1,0
Andaman Sea,31.84871292114258,28.25689888000488,29.72529983520508,797700,10,96,3,1,0
Andaman Sea,32.15104675292969,28.68319892883301,29.07699966430664,797700,10,96,3,1,0
Andaman Sea,32.28031539916992,27.88519859313965,30.09789848327637,797700,10,96,3,1,0
Andaman Sea,31.86164283752441,28.46410179138184,28.87689781188965,797700,10,96,3,1,0
Andaman Sea,32.5870246887207,28.48319816589355,29.1089973449707,797700,10,96,3,1,0
Andaman Sea,32.75533294677734,28.06049919128418,30.05679893493652,797700,10,96,3,1,0
Andaman Sea,32.67173385620117,28.03189849853516,30.14629745483398,797700,10,96,3,1,0
Andaman Sea,32.5838623046875,28.41909790039062,29.21619987487793,797700,10,96,3,1,0
Andaman Sea,32.36024856567383,23.7,29.21619987487793,797700,10,96,3,1,0
Andaman Sea,32.58469772338867,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.09981536865234,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.36754989624023,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.75329208374023,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.28440856933594,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,31.9355583190918,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,31.97690200805664,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.42135620117188,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,31.74802017211914,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,31.73843002319336,28.20770072937012,30.6,797700,10,96,3,1,0
Andaman Sea,31.7255802154541,28.60479545593262,30.6,797700,10,96,3,1,0
Andaman Sea,31.67305946350098,28.54729652404785,30.6,797700,10,96,3,1,0
Andaman Sea,31.78203964233398,28.0310001373291,30.6,797700,10,96,3,1,0
Andaman Sea,32.6104850769043,28.60439872741699,30.6,797700,10,96,3,1,0
Andaman Sea,32.79941940307617,28.19219970703125,30.6,797700,10,96,3,1,0
Andaman Sea,32.6727409362793,28.26930046081543,30.6,797700,10,96,3,1,0
Andaman Sea,31.95165252685547,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.38763046264648,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.66362380981445,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.09152603149414,23.7,30.6,797700,10,96,3,1,0
Andaman Sea,32.45682525634766,23.7,29.00009918212891,797700,10,96,3,1,0
Andaman Sea,32.49720764160156,23.7,28.91759872436523,797700,10,96,3,1,0
Andaman Sea,32.35678100585938,23.7,29.72869873046875,797700,10,96,3,1,0
Andaman Sea,32.69148254394531,23.7,29.00969696044922,797700,10,96,3,1,0
Andaman Sea,32.71173095703125,23.7,29.55159759521484,797700,10,96,3,1,0
Andaman Sea,32.53395843505859,23.7,29.72529983520508,797700,10,96,3,1,0
Andaman Sea,32.75878143310547,28.06049919128418,29.07699966430664,797700,10,96,3,1,0
Andaman Sea,32.63660430908203,28.03189849853516,29.07699966430664,797700,10,96,3,1,0
Arabian Sea,36.30077743530273,26.7451000213623,29.47719955444336,3862000,14,65,3,1,0
Arabian Sea,36.25741577148438,27.01779747009277,29.64289855957031,3862000,14,65,3,1,0
Arabian Sea,36.12844085693359,26.75179862976074,29.54179954528809,3862000,14,65,3,1,0
Arabian Sea,36.57299041748047,26.81549835205078,29.66419792175293,3862000,14,65,3,1,0
Arabian Sea,36.45368576049805,26.82099914550781,30.04859924316406,3862000,14,65,3,1,0
Arabian Sea,36.08926010131836,26.91879653930664,30.11949920654297,3862000,14,65,3,1,0
Arabian Sea,36.38285064697266,26.83019828796387,29.71479797363281,3862000,14,65,3,1,0
Arabian Sea,35.78185653686523,26.74979972839355,29.51819801330566,3862000,14,65,3,1,0
Arabian Sea,36.13617706298828,26.76230049133301,30.17379760742188,3862000,14,65,3,1,0
Arabian Sea,36.48491668701172,27.19809913635254,29.74319839477539,3862000,14,65,3,1,0
Arabian Sea,36.63090896606445,26.77059936523438,30.22369956970215,3862000,14,65,3,1,0
Arabian Sea,36.16259765625,26.74299812316895,29.63850021362305,3862000,14,65,3,1,0
Arabian Sea,36.400146484375,26.81969833374023,29.54599761962891,3862000,14,65,3,1,0
Arabian Sea,36.151123046875,26.80509948730469,30.10900115966797,3862000,14,65,3,1,0
Arabian Sea,36.14445495605469,26.60009956359863,29.66409683227539,3862000,14,65,3,1,0
Arabian Sea,36.20606231689453,26.85649681091309,29.6331958770752,3862000,14,65,3,1,0
Arabian Sea,36.25930404663086,26.88369750976562,29.89249801635742,3862000,14,65,3,1,0
Arabian Sea,36.31378936767578,26.714599609375,29.68609619140625,3862000,14,65,3,1,0
Arabian Sea,36.45757293701172,26.93540000915527,30.15419960021973,3862000,14,65,3,1,0
Arabian Sea,36.34038543701172,27.11280059814453,29.72089958190918,3862000,14,65,3,1,0
Arabian Sea,36.16753387451172,20.3,31.1,3862000,14,65,3,1,0
Arabian Sea,35.95135116577148,27.19809913635254,29.74319839477539,3862000,14,65,3,1,0
Arabian Sea,35.9637565612793,26.77059936523438,30.22369956970215,3862000,14,65,3,1,0
Arabian Sea,36.23590087890625,26.74299812316895,29.63850021362305,3862000,14,65,3,1,0
Arabian Sea,36.03485870361328,26.81969833374023,29.54599761962891,3862000,14,65,3,1,0
Arabian Sea,36.41954803466797,26.80509948730469,30.10900115966797,3862000,14,65,3,1,0
Arabian Sea,36.04243469238281,26.60009956359863,29.66409683227539,3862000,14,65,3,1,0
Arabian Sea,36.24422836303711,26.85649681091309,29.6331958770752,3862000,14,65,3,1,0
Arabian Sea,36.29940795898438,26.88369750976562,29.89249801635742,3862000,14,65,3,1,0
Arabian Sea,36.34787750244141,26.714599609375,29.68609619140625,3862000,14,65,3,1,0
Arabian Sea,36.35585403442383,26.93540000915527,30.15419960021973,3862000,14,65,3,1,0
Arabian Sea,36.14655685424805,27.11280059814453,29.72089958190918,3862000,14,65,3,1,0
Arabian Sea,36.47807693481445,27.19809913635254,29.74319839477539,3862000,14,65,3,1,0
Arabian Sea,36.1555061340332,26.77059936523438,30.22369956970215,3862000,14,65,3,1,0
Arabian Sea,36.24005508422852,26.74299812316895,29.63850021362305,3862000,14,65,3,1,0
Arabian Sea,36.27014541625977,26.81969833374023,29.54599761962891,3862000,14,65,3,1,0
Arabian Sea,36.42752456665039,26.80509948730469,30.10900115966797,3862000,14,65,3,1,0
Arabian Sea,36.2196044921875,26.60009956359863,29.66409683227539,3862000,14,65,3,1,0
Arabian Sea,36.30705642700195,26.85649681091309,29.6331958770752,3862000,14,65,3,1,0
Arabian Sea,36.58727645874023,26.88369750976562,29.89249801635742,3862000,14,65,3,1,0
Arabian Sea,36.269775390625,26.714599609375,29.68609619140625,3862000,14,65,3,1,0
Arabian Sea,36.30247116088867,26.93540000915527,30.15419960021973,3862000,14,65,3,1,0
Arabian Sea,36.42033386230469,27.11280059814453,29.72089958190918,3862000,14,65,3,1,0
Arabian Sea,36.37189102172852,27.19809913635254,29.74319839477539,3862000,14,65,3,1,0
Arabian Sea,36.36146926879883,26.77059936523438,30.22369956970215,3862000,14,65,3,1,0
Arabian Sea,36.3841438293457,26.74299812316895,29.63850021362305,3862000,14,65,3,1,0
Arabian Sea,36.44713973999023,26.81969833374023,29.54599761962891,3862000,14,65,3,1,0
Arabian Sea,36.43880462646484,26.80509948730469,30.10900115966797,3862000,14,65,3,1,0
Arabian Sea,36.34722137451172,26.60009956359863,29.66409683227539,3862000,14,65,3,1,0
Arafura Sea,34.31225967407227,29.04629898071289,28.14379692077637,650000,-9,133,3,1,0
Arafura Sea,33.90355682373047,29.33379936218262,28.16359901428223,650000,-9,133,3,1,0
Arafura Sea,33.95331954956055,29.20400047302246,29.38959884643555,650000,-9,133,3,1,0
Arafura Sea,33.82177352905273,29.54700088500977,28.18580055236816,650000,-9,133,3,1,0
Arafura Sea,33.89329528808594,29.02220153808594,28.11739921569824,650000,-9,133,3,1,0
Arafura Sea,34.06454086303711,29.34279823303223,29.29779815673828,650000,-9,133,3,1,0
Arafura Sea,34.05324554443359,29.11139869689941,29.29139709472656,650000,-9,133,3,1,0
Arafura Sea,33.93297576904297,29.04459953308105,28.1471996307373,650000,-9,133,3,1,0
Arafura Sea,34.28265380859375,29.24439811706543,28.28499984741211,650000,-9,133,3,1,0
Arafura Sea,33.91524124145508,28.98519897460938,29.27589988708496,650000,-9,133,3,1,0
Arafura Sea,33.82473754882812,29.27420043945312,28.1183967590332,650000,-9,133,3,1,0
Arafura Sea,33.95352172851562,29.16669845581055,29.18899726867676,650000,-9,133,3,1,0
Arafura Sea,34.2808837890625,29.21739959716797,29.24099922180176,650000,-9,133,3,1,0
Arafura Sea,33.97162246704102,29.24069786071777,29.16309928894043,650000,-9,133,3,1,0
Arafura Sea,33.9543571472168,29.01629829406738,28.13199806213379,650000,-9,133,3,1,0
Arafura Sea,33.85529327392578,29.17099761962891,29.22649765014648,650000,-9,133,3,1,0
Arafura Sea,34.32397079467773,29.24600219726562,28.21990013122559,650000,-9,133,3,1,0
Arafura Sea,34.32481384277344,29.36359977722168,29.29710006713867,650000,-9,133,3,1,0
Arafura Sea,34.25150680541992,29.27849769592285,29.27579879760742,650000,-9,133,3,1,0
Arafura Sea,34.17729949951172,29.05049896240234,28.2140998840332,650000,-9,133,3,1,0
Arafura Sea,34.25675964355469,29.04629898071289,28.14379692077637,650000,-9,133,3,1,0
Arafura Sea,33.84653854370117,29.33379936218262,28.16359901428223,650000,-9,133,3,1,0
Arafura Sea,34.08320999145508,29.20400047302246,29.38959884643555,650000,-9,133,3,1,0
Arafura Sea,34.30643463134766,29.54700088500977,28.18580055236816,650000,-9,133,3,1,0
Arafura Sea,34.28046035766602,29.02220153808594,28.11739921569824,650000,-9,133,3,1,0
Arafura Sea,33.88912963867188,29.34279823303223,29.29779815673828,650000,-9,133,3,1,0
Arafura Sea,34.22809600830078,29.11139869689941,29.29139709472656,650000,-9,133,3,1,0
Arafura Sea,33.83091735839844,29.04459953308105,28.1471996307373,650000,-9,133,3,1,0
Arafura Sea,34.11740493774414,29.24439811706543,28.28499984741211,650000,-9,133,3,1,0
Arafura Sea,34.19503784179688,28.98519897460938,29.27589988708496,650000,-9,133,3,1,0
Arafura Sea,34.18670272827148,29.27420043945312,28.1183967590332,650000,-9,133,3,1,0
Arafura Sea,34.01676177978516,29.16669845581055,29.18899726867676,650000,-9,133,3,1,0
Arafura Sea,34.07914733886719,29.21739959716797,29.24099922180176,650000,-9,133,3,1,0
Arafura Sea,34.18707275390625,29.24069786071777,29.16309928894043,650000,-9,133,3,1,0
Arafura Sea,34.27047348022461,29.01629829406738,28.13199806213379,650000,-9,133,3,1,0
Arafura Sea,34.19870758056641,29.17099761962891,29.22649765014648,650000,-9,133,3,1,0
Arafura Sea,33.89045333862305,29.24600219726562,28.21990013122559,650000,-9,133,3,1,0
Arafura Sea,34.28198623657227,29.36359977722168,29.29710006713867,650000,-9,133,3,1,0
Arafura Sea,33.86784744262695,29.27849769592285,29.27579879760742,650000,-9,133,3,1,0
Arafura Sea,34.05876922607422,29.05049896240234,28.2140998840332,650000,-9,133,3,1,0
Arafura Sea,33.88791656494141,29.01629829406738,28.13199806213379,650000,-9,133,3,1,0
Arafura Sea,33.99188995361328,29.17099761962891,29.22649765014648,650000,-9,133,3,1,0
Arafura Sea,34.09299850463867,29.24600219726562,28.21990013122559,650000,-9,133,3,1,0
Arafura Sea,34.10842514038086,29.36359977722168,29.29710006713867,650000,-9,133,3,1,0
Arafura Sea,34.19876861572266,29.27849769592285,29.27579879760742,650000,-9,133,3,1,0
Arafura Sea,34.20119094848633,29.05049896240234,28.2140998840332,650000,-9,133,3,1,0
Arafura Sea,34.22187805175781,29.5,31.0,650000,-9,133,3,1,0
Arafura Sea,33.96805572509766,29.05049896240234,28.2140998840332,650000,-9,133,3,1,0
Arafura Sea,34.27791976928711,29.5,31.0,650000,-9,133,3,1,0
Balearic Sea,37.46501159667969,15.56369686126709,21.84209823608398,150000,40,1,2,1,0
Balearic Sea,37.96845245361328,15.7662992477417,20.52529907226562,150000,40,1,2,1,0
Balearic Sea,37.78893661499023,15.65949821472168,21.79959869384766,150000,40,1,2,1,0
Balearic Sea,37.88702774047852,15.21589851379395,23.06559753417969,150000,40,1,2,1,0
Balearic Sea,37.90965270996094,15.61379718780518,22.19489860534668,150000,40,1,2,1,0
Balearic Sea,37.49221038818359,15.15559864044189,22.93390083312988,150000,40,1,2,1,0
Balearic Sea,37.55896759033203,15.62150001525879,20.95190048217773,150000,40,1,2,1,0
Balearic Sea,37.52878570556641,15.76209735870361,20.82349586486816,150000,40,1,2,1,0
Balearic Sea,37.99918365478516,15.28919887542725,23.35599899291992,150000,40,1,2,1,0
Balearic Sea,37.82884216308594,15.5856990814209,21.55730056762695,150000,40,1,2,1,0
Balearic Sea,37.5014533996582,15.15719795227051,22.78939819335938,150000,40,1,2,1,0
Balearic Sea,37.78991317749023,15.85069847106934,20.70699882507324,150000,40,1,2,1,0
Balearic Sea,37.7746696472168,15.8036994934082,20.76409721374512,150000,40,1,2,1,0
Balearic Sea,38.05762481689453,15.89369773864746,19.69079971313477,150000,40,1,2,1,0
Balearic Sea,37.63972473144531,15.52039813995361,22.59859848022461,150000,40,1,2,1,0
Balearic Sea,37.56363677978516,15.92000102996826,20.70069885253906,150000,40,1,2,1,0
Balearic Sea,37.72430419921875,15.50219917297363,21.86929893493652,150000,40,1,2,1,0
Balearic Sea,38.12572860717773,15.95449924468994,21.12519836425781,150000,40,1,2,1,0
Balearic Sea,37.95926284790039,15.82679843902588,20.06749725341797,150000,40,1,2,1,0
Balearic Sea,37.94377899169922,15.95090007781982,20.7609977722168,150000,40,1,2,1,0
Balearic Sea,37.90818786621094,15.56369686126709,21.84209823608398,150000,40,1,2,1,0
Balearic Sea,37.87294769287109,15.7662992477417,20.52529907226562,150000,40,1,2,1,0
Balearic Sea,37.39617156982422,15.65949821472168,21.79959869384766,150000,40,1,2,1,0
Balearic Sea,37.73583221435547,15.21589851379395,23.06559753417969,150000,40,1,2,1,0
Balearic Sea,37.59051895141602,15.61379718780518,22.19489860534668,150000,40,1,2,1,0
Balearic Sea,37.9998779296875,15.15559864044189,22.93390083312988,150000,40,1,2,1,0
Balearic Sea,37.72995758056641,15.62150001525879,20.95190048217773,150000,40,1,2,1,0
Balearic Sea,37.47774505615234,15.76209735870361,20.82349586486816,150000,40,1,2,1,0
Balearic Sea,37.97735214233398,15.28919887542725,23.35599899291992,150000,40,1,2,1,0
Balearic Sea,37.45796585083008,15.5856990814209,21.55730056762695,150000,40,1,2,1,0
Balearic Sea,37.61484909057617,15.15719795227051,22.78939819335938,150000,40,1,2,1,0
Balearic Sea,37.37982940673828,15.85069847106934,20.70699882507324,150000,40,1,2,1,0
Balearic Sea,37.61249542236328,15.8036994934082,20.76409721374512,150000,40,1,2,1,0
Balearic Sea,37.61650848388672,15.89369773864746,19.69079971313477,150000,40,1,2,1,0
Balearic Sea,37.65370941162109,15.52039813995361,22.59859848022461,150000,40,1,2,1,0
Balearic Sea,37.63015747070312,15.92000102996826,20.70069885253906,150000,40,1,2,1,0
Balearic Sea,37.55993270874023,15.50219917297363,21.86929893493652,150000,40,1,2,1,0
Balearic Sea,37.69067764282227,15.95449924468994,21.12519836425781,150000,40,1,2,1,0
Balearic Sea,37.73841857910156,15.82679843902588,20.06749725341797,150000,40,1,2,1,0
Balearic Sea,37.68901062011719,15.95090007781982,20.7609977722168,150000,40,1,2,1,0
Balearic Sea,37.39186859130859,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.62804794311523,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.43649673461914,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.74158477783203,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,38.05159759521484,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.93770599365234,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.39923477172852,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,38.00337600708008,13.8,24.7,150000,40,1,2,1,0
Balearic Sea,37.8681526184082,13.8,24.7,150000,40,1,2,1,0
Baltic Sea,7.283664703369141,5.050799369812012,10.16519927978516,377000,58,20,2,0,0
Baltic Sea,7.358641624450684,5.26230001449585,9.895198822021484,377000,58,20,2,0,0
Baltic Sea,6.923683166503906,4.804800033569336,12.41739845275879,377000,58,20,2,0,0
Baltic Sea,6.882575988769531,5.575399875640869,9.46379852294922,377000,58,20,2,0,0
Baltic Sea,6.843975067138672,4.958699703216553,13.62769889831543,377000,58,20,2,0,0
Baltic Sea,7.139967918395996,5.044899463653564,10.99509716033936,377000,58,20,2,0,0
Baltic Sea,7.001358509063721,4.951900482177734,11.63769912719727,377000,58,20,2,0,0
Baltic Sea,6.948460102081299,5.101202011108398,11.90479946136475,377000,58,20,2,0,0
Baltic Sea,7.12838077545166,4.743900299072266,15.78439903259277,377000,58,20,2,0,0
Baltic Sea,6.838568210601807,5.238399982452393,9.46729850769043,377000,58,20,2,0,0
Baltic Sea,7.238360404968262,4.958301544189453,14.66559886932373,377000,58,20,2,0,0
Baltic Sea,7.002103328704834,4.964200973510742,13.84979820251465,377000,58,20,2,0,0
Baltic Sea,6.740456581115723,4.961600780487061,14.27919864654541,377000,58,20,2,0,0
Baltic Sea,6.894094944000244,5.477398872375488,9.42559814453125,377000,58,20,2,0,0
Baltic Sea,6.60409688949585,4.980000495910645,10.14639854431152,377000,58,20,2,0,0
Baltic Sea,6.641613006591797,5.203099250793457,9.505800247192385,377000,58,20,2,0,0
Baltic Sea,6.886281490325928,5.515900135040283,9.457601547241213,377000,58,20,2,0,0
Baltic Sea,6.562332630157471,5.100399971008301,10.9045991897583,377000,58,20,2,0,0
Baltic Sea,7.099087715148926,5.331600189208984,9.298099517822266,377000,58,20,2,0,0
Baltic Sea,6.646227836608887,5.0267014503479,10.2161979675293,377000,58,20,2,0,0
Baltic Sea,6.724818706512451,5.050799369812012,10.16519927978516,377000,58,20,2,0,0
Baltic Sea,7.345812797546387,5.26230001449585,9.895198822021484,377000,58,20,2,0,0
Baltic Sea,7.303654670715332,4.804800033569336,12.41739845275879,377000,58,20,2,0,0
Baltic Sea,6.774857044219971,5.575399875640869,9.46379852294922,377000,58,20,2,0,0
Baltic Sea,7.105635166168213,4.958699703216553,13.62769889831543,377000,58,20,2,0,0
Baltic Sea,7.047532081604004,5.044899463653564,10.99509716033936,377000,58,20,2,0,0
Baltic Sea,6.73566198348999,4.951900482177734,11.63769912719727,377000,58,20,2,0,0
Baltic Sea,6.826411724090576,5.101202011108398,11.90479946136475,377000,58,20,2,0,0
